Student,Strategy,Metric,Before,After
FORGETFUL,DrillStrategy,S5,2,0
FORGETFUL,SmartPracticeStrategy,Touched,20,20
FORGETFUL,SmartPracticeStrategy,Coverage,1,1
FORGETFUL,SmartPracticeStrategy,Rep Rate,0.8,0.8
FORGETFUL,SmartPracticeStrategy,Velocity,1.69,1.75
FORGETFUL,SmartPracticeStrategy,Wasted,0,0
FORGETFUL,SmartPracticeStrategy,Boredom,0.93,1.04
FORGETFUL,SmartPracticeStrategy,S1,1,1
FORGETFUL,SmartPracticeStrategy,S2,19,19
FORGETFUL,SmartPracticeStrategy,S3,0,0
POWER_LAW,ReviewStrategy,Touched,20,20
POWER_LAW,ReviewStrategy,Coverage,1,1
POWER_LAW,ReviewStrategy,Rep Rate,0.8,0.8
POWER_LAW,ReviewStrategy,Velocity,5,5
POWER_LAW,ReviewStrategy,Wasted,0,0
POWER_LAW,ReviewStrategy,Boredom,0.4,2.34
POWER_LAW,ReviewStrategy,S1,20,20
POWER_LAW,DrillStrategy,Touched,6,4
POWER_LAW,DrillStrategy,Coverage,0.3,0.2
POWER_LAW,DrillStrategy,Rep Rate,0.94,0.96
POWER_LAW,DrillStrategy,Velocity,2.5,4.35
POWER_LAW,DrillStrategy,Wasted,0,0
POWER_LAW,DrillStrategy,Boredom,10.94,7.96
POWER_LAW,DrillStrategy,S0,3,0
POWER_LAW,DrillStrategy,S1,1,3
POWER_LAW,DrillStrategy,S3,1,1
POWER_LAW,DrillStrategy,S4,1,0
POWER_LAW,SmartPracticeStrategy,Touched,20,20
POWER_LAW,SmartPracticeStrategy,Coverage,1,1
POWER_LAW,SmartPracticeStrategy,Rep Rate,0.8,0.8
POWER_LAW,SmartPracticeStrategy,Velocity,4.55,4.76
POWER_LAW,SmartPracticeStrategy,Wasted,0,0
POWER_LAW,SmartPracticeStrategy,Boredom,0.31,0.4
POWER_LAW,SmartPracticeStrategy,S1,18,19
POWER_LAW,SmartPracticeStrategy,S2,2,1
FAST_POWER_LAW,ReviewStrategy,Touched,20,20
FAST_POWER_LAW,ReviewStrategy,Coverage,1,1
FAST_POWER_LAW,ReviewStrategy,Rep Rate,0.8,0.8
FAST_POWER_LAW,ReviewStrategy,Velocity,5,5
FAST_POWER_LAW,ReviewStrategy,Wasted,0,0
FAST_POWER_LAW,ReviewStrategy,Boredom,0.5,5.28
FAST_POWER_LAW,ReviewStrategy,S1,20,20
FAST_POWER_LAW,DrillStrategy,Touched,8,8
FAST_POWER_LAW,DrillStrategy,Coverage,0.4,0.4
FAST_POWER_LAW,DrillStrategy,Rep Rate,0.92,0.92
FAST_POWER_LAW,DrillStrategy,Velocity,2.22,3.33
FAST_POWER_LAW,DrillStrategy,Wasted,10,0
FAST_POWER_LAW,DrillStrategy,Boredom,10.51,10.21
FAST_POWER_LAW,DrillStrategy,S0,1,0
FAST_POWER_LAW,DrillStrategy,S1,1,4
FAST_POWER_LAW,DrillStrategy,S3,1,0
FAST_POWER_LAW,DrillStrategy,S4,4,4
FAST_POWER_LAW,DrillStrategy,S5,1,0
FAST_POWER_LAW,SmartPracticeStrategy,Touched,20,20
FAST_POWER_LAW,SmartPracticeStrategy,Coverage,1,1
FAST_POWER_LAW,SmartPracticeStrategy,Rep Rate,0.8,0.8
FAST_POWER_LAW,SmartPracticeStrategy,Velocity,3.85,4.35
FAST_POWER_LAW,SmartPracticeStrategy,Wasted,0,0
FAST_POWER_LAW,SmartPracticeStrategy,Boredom,0.56,0.44
FAST_POWER_LAW,SmartPracticeStrategy,S1,14,17
FAST_POWER_LAW,SmartPracticeStrategy,S2,6,3
